,Municipio,i,j,k,value
232,Esmeraldas,4.0,5.0,1.0,133.10755610714102
232,Betim,4.0,5.0,1.0,133.10755610714102
232,Belo Horizonte,4.0,5.0,1.0,133.10755610714102
1216,Caete,3.0,5.0,5.0,103.19460356158844
1216,Confins,3.0,5.0,5.0,103.19460356158844
1216,Contagem,3.0,5.0,5.0,103.19460356158844
2264,Ibirité,4.0,1.0,3.0,41.323354089000354
2264,Brumadinho,4.0,1.0,3.0,41.323354089000354
2264,Igarapé,4.0,1.0,3.0,41.323354089000354
2264,Juatuba,4.0,1.0,3.0,41.323354089000354
2264,Lagoa Santa,4.0,1.0,3.0,41.323354089000354
